"nama","gender","usia","area","ses","user_ts","user_ns","tom","unaided_1","unaided_2","unaided_3"
"Cordova, Jaquelyn","M","16 - 20 th","Jatim","Mid","tidak","ya","net","mnc tv","inews","trans tv"
"al-Radi, Majdiyya","M","11 - 15 th","Jabar","Up1","ya","ya","rcti","trans tv","net","tv one"
"Jones, Breea","F","> 30 th","Jabodetabek","Mid","tidak","ya","inews","net","mnc tv","rcti"
"Joe, Tessa","F","26 - 30 th","Sulawesi","Up1","ya","ya","sctv","net","mnc tv","trans tv"
"Wildt, Jenai","F","21 - 25 th","SUM 2","Mid","ya","ya","sctv","trans7","inews","trans tv"
"Schwalger, Hadia","M","16 - 20 th","Jabar","Up1","ya","ya","sctv","net","rcti","mnc tv"
"Hernandez, Monserrate","F","26 - 30 th","Kalimantan","Mid","ya","tidak","trans7","mnc tv","sctv","net"
"Cordova, Paul","M","16 - 20 th","PUMA","Mid","ya","ya","trans tv","trans7","rcti","tv one"
"Johnson, Shelby","M","11 - 15 th","Jatim","Super","ya","ya","trans tv","trans7","net","inews"
"Cartahena Jr, Richard","M","16 - 20 th","Jabodetabek","Up1","tidak","ya","mnc tv","rcti","net","inews"
"Naranjo, Joshua","F","21 - 25 th","Jabodetabek","Mid","ya","ya","inews","trans7","net","mnc tv"
"Ard, Samantha","F","26 - 30 th","Jabodetabek","Super","ya","ya","trans7","net","tv one","trans tv"
"Linzy, Alyssa","F","26 - 30 th","Jateng","Mid","tidak","ya","net","trans7","mnc tv","inews"
"Sandoval, Shania","F","11 - 15 th","Jatim","Mid","tidak","ya","indosiar","rcti","trans7","trans tv"
"el-Tawil, Abbaas","M","21 - 25 th","Jabar","Up1","tidak","ya","sctv","trans7","indosiar","inews"
"Xiong, David","F","21 - 25 th","Jatim","Up2","ya","tidak","sctv","trans tv","net","tv one"
"Martinez, Dylan","F","16 - 20 th","PUMA","Mid","tidak","ya","rcti","net","mnc tv","inews"
"Banks, Antquant","F","16 - 20 th","Jabar","Up1","tidak","ya","trans tv","trans7","inews","net"
"Barry, Christopher","M","21 - 25 th","SUM 2","Super","ya","ya","trans tv","rcti","inews","sctv"
"Schuckman, Jessica","M","11 - 15 th","Jatim","Mid","tidak","ya","trans tv","rcti","sctv","mnc tv"
"Johnson, Donovan","M","21 - 25 th","Jabodetabek","Up1","ya","tidak","tv one","net","inews","mnc tv"
"el-Sabir, Jalaal","M","21 - 25 th","SUM 2","Up2","ya","tidak","trans tv","net","sctv","trans7"
"Pourier, Caleb","M","> 30 th","Jabodetabek","Up1","ya","ya","inews","mnc tv","trans7","net"
"Lucio-Salgado, Paul","F","21 - 25 th","SUM 1","Mid","tidak","ya","net","trans7","inews","rcti"
"Milburn, Rachel","F","26 - 30 th","PUMA","Mid","tidak","ya","net","trans7","sctv","trans tv"
"el-Nazir, Saleem","F","> 30 th","Jateng","Super","tidak","tidak","net","rcti","trans7","sctv"
"Tipoti, Julie","F","26 - 30 th","BARA","Mid","ya","ya","trans tv","net","rcti","sctv"
"al-Rabbani, Wajdi","M","11 - 15 th","Jatim","Up1","tidak","ya","rcti","sctv","net","trans7"
"Hamilton, Chase","F","> 30 th","PUMA","Mid","ya","tidak","net","trans7","trans tv","mnc tv"
"Echohawk, Cassidy","M","26 - 30 th","Jabodetabek","Mid","ya","tidak","mnc tv","net","trans tv","sctv"
"Young, Kristopher","M","16 - 20 th","SUM 2","Mid","ya","ya","sctv","net","indosiar","rcti"
"Rubio, Jimena","F","26 - 30 th","Jabar","Up1","tidak","ya","sctv","trans7","trans tv","net"
"Cao, James","M","16 - 20 th","SUM 1","Up1","ya","ya","trans tv","sctv","net","trans7"
"Brown, Tyaisha","M","16 - 20 th","Jabodetabek","Up1","ya","ya","trans tv","mnc tv","net","sctv"
"Zawada, Fabian","F","16 - 20 th","Jabodetabek","Up1","ya","ya","net","sctv","rcti","trans tv"
"Redhorse, Jane","F","16 - 20 th","Jabodetabek","Up1","ya","ya","sctv","net","trans tv","trans7"
"Malone, Bailey","M","11 - 15 th","Jabodetabek","Mid","ya","ya","net","sctv","tv one","inews"
"el-Elbaz, Saeed","M","21 - 25 th","Jabar","Up1","ya","ya","net","sctv","trans7","mnc tv"
"Thatcher, Misty","F","26 - 30 th","Sulawesi","Up2","tidak","tidak","sctv","net","rcti","trans tv"
"Kim, Katherine","M","16 - 20 th","SUM 1","Up1","ya","ya","indosiar","net","rcti","sctv"
"Rodriguez, Matthew","M","16 - 20 th","Sulawesi","Mid","tidak","ya","inews","trans7","trans tv","mnc tv"
"Saeid, Aamien","M","16 - 20 th","Sulawesi","Up1","tidak","ya","inews","net","rcti","trans tv"
"al-Sulaiman, Naqaa","F","16 - 20 th","Jabar","Up1","ya","tidak","trans tv","net","trans7","mnc tv"
"Frank, Canyon","F","11 - 15 th","Jabar","Mid","tidak","ya","indosiar","net","sctv","trans7"
"Ditges, Mara","F","26 - 30 th","SUM 2","Mid","tidak","ya","mnc tv","sctv","tv one","net"
"el-Awan, Jamaal","F","16 - 20 th","Jatim","Mid","ya","ya","net","trans7","sctv","trans tv"
"Palomo, Julia","M","21 - 25 th","Sulawesi","Up1","ya","ya","sctv","inews","trans7","mnc tv"
"Sizemore, Alyssa","F","11 - 15 th","SUM 2","Super","tidak","ya","inews","net","sctv","mnc tv"
"Doyel, Jharline","M","26 - 30 th","Jabodetabek","Mid","ya","ya","trans tv","net","trans7","inews"
"Chavez, Alejandra","F","11 - 15 th","Jabodetabek","Up1","tidak","ya","mnc tv","inews","net","indosiar"
"Madrid, Alexis","F","16 - 20 th","PUMA","Up1","tidak","ya","sctv","indosiar","net","rcti"
"Framel, Noelle","F","11 - 15 th","Jabodetabek","Mid","tidak","ya","inews","mnc tv","trans7","rcti"
"Earl, Robert","M","21 - 25 th","Jatim","Up2","ya","ya","inews","trans7","sctv","net"
"Deleon, Ryann","F","26 - 30 th","PUMA","Super","ya","ya","trans tv","net","indosiar","inews"
"Simonic, Morgan","F","16 - 20 th","Jabodetabek","Up2","ya","ya","net","trans7","inews","rcti"
"al-Nazar, Baasim","F","> 30 th","Sulawesi","Up2","tidak","tidak","trans tv","trans7","indosiar","rcti"
"Mckinley, Joseph","M","21 - 25 th","SUM 2","Up1","tidak","ya","trans7","sctv","indosiar","net"
"Millhollin, Alexander","M","21 - 25 th","SUM 2","Mid","ya","ya","sctv","inews","trans tv","trans7"
"el-Shaer, Anwar","F","26 - 30 th","BARA","Mid","ya","ya","net","mnc tv","inews","rcti"
"el-Dada, Daif","M","26 - 30 th","Sulawesi","Mid","ya","ya","trans tv","sctv","indosiar","trans7"
"Beltran, Shanise","F","> 30 th","Sulawesi","Up2","tidak","ya","mnc tv","net","trans7","inews"
"al-Mahfouz, Hilaal","F","26 - 30 th","SUM 2","Mid","tidak","ya","trans tv","tv one","trans7","net"
"Gutierrez, Kelsey","F","21 - 25 th","Jatim","Up1","ya","ya","trans7","trans tv","sctv","rcti"
"Wemlinger, Joshua","M","16 - 20 th","PUMA","Up1","ya","tidak","sctv","mnc tv","trans tv","rcti"
"al-El-Sayed, Muna","M","16 - 20 th","Jabar","Super","ya","ya","sctv","tv one","trans7","rcti"
"Trehal, Reino","F","26 - 30 th","Jateng","Mid","tidak","ya","trans tv","sctv","tv one","inews"
"el-Kassem, Nusaiba","F","26 - 30 th","Jatim","Up1","tidak","tidak","trans tv","tv one","inews","trans7"
"Schmoker, Jennifer","F","26 - 30 th","PUMA","Mid","tidak","ya","trans7","sctv","net","trans tv"
"Howell, Katricia","M","26 - 30 th","Jatim","Super","ya","ya","inews","trans7","sctv","net"
"Anderson, Barbara","M","> 30 th","Jabodetabek","Super","tidak","ya","trans7","mnc tv","tv one","rcti"
"Tarango, Luz","M","26 - 30 th","SUM 2","Mid","tidak","tidak","trans7","trans tv","tv one","indosiar"
"Smith Small, Tazarah","F","16 - 20 th","Jateng","Super","tidak","ya","rcti","inews","sctv","net"
"Mcguire, Kevin","F","16 - 20 th","Jabodetabek","Mid","ya","ya","trans7","net","inews","sctv"
"Gallegos, Andres","M","26 - 30 th","SUM 1","Up2","ya","tidak","trans tv","sctv","net","rcti"
"el-Semaan, Faraj","F","> 30 th","Jabodetabek","Up1","ya","ya","net","indosiar","trans tv","trans7"
"Lee, Ace","M","26 - 30 th","Jatim","Mid","tidak","ya","sctv","rcti","mnc tv","net"
"Tafoya, Jordan","M","21 - 25 th","Sulawesi","Mid","ya","ya","trans7","net","indosiar","inews"
"Acosta, Miguel","F","21 - 25 th","Jabodetabek","Up1","tidak","ya","trans7","net","indosiar","mnc tv"
"Aryal, Kevin","F","26 - 30 th","Jabodetabek","Super","ya","ya","net","trans tv","sctv","rcti"
"Strock, Tristin","F","16 - 20 th","Jatim","Mid","ya","ya","mnc tv","tv one","trans tv","inews"
"Nguyen, Jennifer","F","11 - 15 th","SUM 2","Up1","ya","ya","inews","rcti","indosiar","mnc tv"
"Waldo, Savion","M","16 - 20 th","Jatim","Mid","ya","ya","net","trans tv","tv one","inews"
"al-Wakim, Masroora","M","11 - 15 th","BARA","Mid","ya","ya","net","mnc tv","trans7","sctv"
"el-Kamali, Sumayya","F","21 - 25 th","Jateng","Mid","ya","ya","sctv","net","inews","trans tv"
"Soufiani, Ace","F","11 - 15 th","SUM 1","Up2","tidak","ya","inews","trans7","mnc tv","rcti"
"Emley, Nena","F","11 - 15 th","Jateng","Up1","tidak","ya","net","trans7","rcti","inews"
"Zawacki, Tyler","M","> 30 th","Jatim","Mid","ya","tidak","mnc tv","sctv","rcti","trans tv"
"el-Dib, Abdul Ghafoor","F","21 - 25 th","Jabodetabek","Mid","ya","ya","net","sctv","trans tv","mnc tv"
"Soto, Vanessa","M","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans tv","trans7","inews","sctv"
"Nunez Salazar, Anne","M","21 - 25 th","Jatim","Mid","ya","ya","net","tv one","trans7","mnc tv"
"Mascolo, Christl","M","26 - 30 th","SUM 2","Super","tidak","ya","inews","rcti","net","mnc tv"
"Johnson, Rayland","M","11 - 15 th","Jatim","Mid","ya","ya","sctv","inews","trans7","net"
"al-Jaber, Mastoora","M","21 - 25 th","SUM 2","Mid","tidak","tidak","trans7","net","mnc tv","rcti"
"Monje Madrid, Elizabeth","M","16 - 20 th","SUM 1","Up1","ya","ya","net","trans7","trans tv","inews"
"Frazier, Charlotte","F","11 - 15 th","PUMA","Mid","ya","ya","indosiar","trans tv","rcti","net"
"Ledbetter, Olivia","F","11 - 15 th","Sulawesi","Mid","ya","ya","sctv","trans tv","mnc tv","net"
"Leon, Domingo","F","26 - 30 th","BARA","Mid","tidak","ya","trans tv","trans7","inews","sctv"
"Paredes, Melisa","F","11 - 15 th","Jabodetabek","Up1","ya","ya","net","mnc tv","trans7","trans tv"
"Troeger, Matthew","F","26 - 30 th","Kalimantan","Up1","tidak","ya","net","sctv","trans7","trans tv"
"Wong, Roman","F","21 - 25 th","Jabodetabek","Up1","ya","ya","trans7","net","inews","mnc tv"
"al-Tawil, Ayyoob","F","21 - 25 th","PUMA","Up1","ya","ya","sctv","inews","net","mnc tv"
"Hite, Thanh","F","26 - 30 th","Jateng","Mid","tidak","ya","trans7","tv one","net","mnc tv"
"Nelson, Mason","M","11 - 15 th","Jabar","Up2","tidak","ya","trans7","sctv","inews","tv one"
"Estrada, Andres","M","> 30 th","Jabodetabek","Up1","tidak","tidak","net","inews","sctv","rcti"
"Begaye, Marceen","M","21 - 25 th","Jatim","Super","ya","ya","rcti","sctv","trans tv","trans7"
"Meijer, Tamara","M","21 - 25 th","SUM 1","Mid","ya","tidak","net","inews","trans7","rcti"
"Trujillo, Sharla","M","26 - 30 th","SUM 2","Up1","tidak","ya","inews","trans7","rcti","mnc tv"
"Lipford, Duantae","M","26 - 30 th","Jatim","Mid","ya","ya","mnc tv","net","trans tv","rcti"
"Gipson, Delayna","M","21 - 25 th","Sulawesi","Up2","tidak","ya","indosiar","trans7","sctv","mnc tv"
"Koschel, Jenneah","M","21 - 25 th","SUM 2","Mid","ya","ya","rcti","sctv","indosiar","mnc tv"
"Galloway, Aaron","F","26 - 30 th","PUMA","Super","tidak","ya","trans tv","net","mnc tv","sctv"
"Holiday, Quianah","F","21 - 25 th","Jabodetabek","Mid","ya","tidak","trans7","trans tv","indosiar","net"
"al-Hannan, Misfar","F","26 - 30 th","Kalimantan","Up1","tidak","ya","sctv","mnc tv","rcti","trans tv"
"Chaparro, Edgar","F","21 - 25 th","Jabodetabek","Up1","ya","tidak","net","trans tv","trans7","inews"
"al-Kalil, Ameer","F","11 - 15 th","Jabodetabek","Mid","ya","tidak","mnc tv","tv one","net","inews"
"Mcgill, Rosie","F","11 - 15 th","Sulawesi","Super","tidak","ya","rcti","sctv","trans tv","inews"
"Bang, Nicole","M","21 - 25 th","Kalimantan","Super","tidak","ya","tv one","net","trans7","trans tv"
"Stanback, Audrey","M","21 - 25 th","Jatim","Mid","ya","ya","net","mnc tv","trans7","trans tv"
"Tucker, Danijah","M","16 - 20 th","PUMA","Up1","ya","ya","rcti","inews","trans7","trans tv"
"Pratt, Gabriel","F","26 - 30 th","Jateng","Mid","ya","ya","inews","trans tv","rcti","net"
"Lewis, Dennis","F","> 30 th","Jabodetabek","Mid","ya","ya","tv one","trans tv","rcti","mnc tv"
"Simon, Shawn","F","21 - 25 th","BARA","Up2","ya","tidak","mnc tv","sctv","inews","trans7"
"el-Yassin, Jasoor","M","21 - 25 th","Jabodetabek","Super","tidak","ya","trans7","sctv","net","tv one"
"Root, Christina","F","26 - 30 th","Jateng","Up1","ya","ya","trans tv","net","inews","mnc tv"
"Nubine, Monique","M","21 - 25 th","Jabodetabek","Super","tidak","ya","trans tv","trans7","sctv","net"
"Barthe, Naren","F","21 - 25 th","SUM 1","Mid","ya","ya","sctv","trans tv","trans7","inews"
"Kim, Lance","M","16 - 20 th","Jabodetabek","Super","ya","ya","trans tv","net","sctv","mnc tv"
"Gleitz, Skye","F","21 - 25 th","Jabodetabek","Mid","ya","ya","trans7","net","indosiar","inews"
"Wilkins, Brittany","F","16 - 20 th","PUMA","Mid","ya","ya","net","inews","mnc tv","sctv"
"Carpenter, James","M","16 - 20 th","Jabodetabek","Mid","ya","ya","net","mnc tv","trans tv","sctv"
"Gaspar, Phillip","F","16 - 20 th","Jatim","Up2","ya","ya","net","rcti","mnc tv","trans7"
"Cone, Jensen","M","16 - 20 th","PUMA","Super","ya","tidak","trans tv","sctv","trans7","mnc tv"
"el-Gad, Tahaani","F","> 30 th","PUMA","Mid","ya","tidak","net","inews","tv one","sctv"
"Pham, Leah","F","21 - 25 th","Sulawesi","Up1","tidak","ya","sctv","inews","rcti","trans7"
"Meyer, Moria","M","26 - 30 th","SUM 2","Mid","tidak","ya","sctv","trans tv","trans7","inews"
"Fairbanks, Katie-Lynne","M","21 - 25 th","Jatim","Mid","tidak","ya","tv one","net","mnc tv","trans tv"
"Jacquez, Felicia","F","16 - 20 th","Jateng","Up2","ya","ya","trans tv","sctv","rcti","tv one"
"Krpan, Sierra","M","> 30 th","SUM 2","Mid","tidak","ya","rcti","sctv","tv one","mnc tv"
"Dyas, Tionni","M","21 - 25 th","Jabodetabek","Up1","ya","ya","mnc tv","net","trans7","sctv"
"Mathys, Kylie","M","16 - 20 th","Jateng","Up2","ya","tidak","rcti","net","sctv","trans tv"
"Candia, Emilee","F","> 30 th","PUMA","Up2","tidak","ya","net","trans7","mnc tv","sctv"
"Baker, Kallen","F","> 30 th","BARA","Mid","tidak","ya","trans7","sctv","rcti","inews"
"Davis, Brandon","M","16 - 20 th","Jabodetabek","Mid","ya","ya","inews","trans7","indosiar","net"
"el-Ahmadi, Arkaan","F","11 - 15 th","Jatim","Mid","tidak","ya","sctv","inews","indosiar","trans tv"
"Ealy, Chalisa","M","21 - 25 th","Jabar","Mid","ya","ya","trans tv","mnc tv","net","trans7"
"Masters, Parker","M","21 - 25 th","SUM 2","Super","ya","ya","mnc tv","trans7","net","sctv"
"Pelsmaeker, Julia","M","> 30 th","Jabodetabek","Super","ya","tidak","mnc tv","rcti","net","trans tv"
"al-Rabbani, Rushdi","M","11 - 15 th","Jabar","Super","ya","ya","trans7","inews","net","rcti"
"Jayachandra, Kayla","M","11 - 15 th","PUMA","Mid","tidak","ya","net","tv one","trans7","rcti"
"el-Khawaja, Sahheeda","M","> 30 th","Jateng","Mid","tidak","ya","trans tv","sctv","net","trans7"
"Ortega, Celsa","F","21 - 25 th","SUM 2","Mid","tidak","ya","net","indosiar","mnc tv","sctv"
"Ramos, Carlos","M","21 - 25 th","SUM 2","Super","ya","ya","indosiar","inews","mnc tv","sctv"
"Kim, Autumn","M","11 - 15 th","Jatim","Up1","tidak","ya","mnc tv","trans tv","net","indosiar"
"Woo, Caroline","F","> 30 th","PUMA","Mid","ya","ya","net","rcti","sctv","inews"
"Rodriguez, Amber","M","> 30 th","SUM 2","Mid","ya","ya","net","inews","mnc tv","trans7"
"Thapa, Xala","M","11 - 15 th","PUMA","Mid","ya","tidak","tv one","sctv","net","inews"
"Morales, Rachael","F","26 - 30 th","PUMA","Mid","ya","ya","trans tv","inews","net","trans7"
"Leach, Ethan","F","> 30 th","Jabodetabek","Up2","ya","tidak","trans tv","mnc tv","rcti","sctv"
"Lee, Alvina","M","11 - 15 th","SUM 2","Mid","ya","tidak","net","indosiar","mnc tv","sctv"
"Henderson, Joseph","F","11 - 15 th","SUM 1","Up1","ya","ya","net","rcti","trans7","indosiar"
"Pilgreen, Rebecca","F","26 - 30 th","SUM 2","Up2","tidak","ya","trans7","net","rcti","sctv"
"Arevalo-Armendariz, Theodore","F","21 - 25 th","Jateng","Mid","tidak","ya","inews","net","trans7","mnc tv"
"Williams, Kennedy","M","11 - 15 th","Kalimantan","Super","tidak","tidak","net","trans7","trans tv","rcti"
"Caballero, Angelina","F","16 - 20 th","Sulawesi","Super","ya","tidak","net","rcti","indosiar","trans7"
"Nguyen, Madison","F","> 30 th","Jabodetabek","Mid","ya","ya","trans tv","trans7","indosiar","sctv"
"Bal, Cassandra","M","16 - 20 th","Jabodetabek","Mid","ya","ya","mnc tv","net","trans7","tv one"
"al-Younan, Maleeka","M","16 - 20 th","Jabodetabek","Super","tidak","ya","tv one","inews","net","indosiar"
"Tran, Phillip","F","21 - 25 th","PUMA","Mid","tidak","ya","indosiar","inews","trans tv","trans7"
"John, Ezequiel","M","> 30 th","Kalimantan","Up1","tidak","ya","inews","net","trans tv","trans7"
"Martinez, Adrian","M","> 30 th","Kalimantan","Up2","ya","ya","mnc tv","net","sctv","indosiar"
"Yazzie, Jacob","M","21 - 25 th","SUM 1","Mid","ya","ya","trans tv","sctv","rcti","tv one"
"Aldawoodi, Pachoua","M","21 - 25 th","Sulawesi","Super","ya","ya","sctv","net","trans7","indosiar"
"Costa, Brandon","F","21 - 25 th","SUM 1","Mid","ya","ya","net","sctv","trans tv","indosiar"
"al-Obeid, Shukri","M","21 - 25 th","PUMA","Mid","ya","ya","trans7","trans tv","mnc tv","tv one"
"Wu, Jordan","M","26 - 30 th","Jabodetabek","Mid","ya","ya","trans7","trans tv","net","mnc tv"
"Hancock, Jade","M","> 30 th","Jateng","Mid","ya","ya","trans tv","indosiar","net","rcti"
"Vigil, Sarai","M","21 - 25 th","Jabodetabek","Super","tidak","ya","inews","trans tv","sctv","rcti"
"al-Abid, Haaniya","F","26 - 30 th","Jatim","Up1","ya","ya","sctv","trans tv","net","rcti"
"Punzal, David","F","16 - 20 th","BARA","Up1","ya","ya","net","trans7","tv one","sctv"
"Nguyen-Huynh, Janice","M","11 - 15 th","Jatim","Mid","ya","tidak","trans tv","trans7","sctv","mnc tv"
"Williams, Melissa","F","11 - 15 th","Kalimantan","Up1","tidak","ya","trans tv","net","trans7","indosiar"
"Nhem, Neil","F","26 - 30 th","PUMA","Mid","ya","tidak","net","trans7","trans tv","sctv"
"el-Zakaria, Naseera","F","21 - 25 th","Jateng","Mid","ya","ya","mnc tv","net","indosiar","trans tv"
"Littles, Maliyah","F","16 - 20 th","Jatim","Up1","tidak","ya","inews","net","sctv","trans tv"
"Jones, Tavon","M","26 - 30 th","SUM 2","Mid","ya","tidak","trans7","net","rcti","mnc tv"
"el-Moustafa, Tareefa","M","21 - 25 th","PUMA","Up1","ya","ya","mnc tv","net","rcti","tv one"
"Green, Imani","M","21 - 25 th","Jabodetabek","Up1","ya","ya","trans tv","trans7","mnc tv","net"
"Jordan, Qi","M","21 - 25 th","Jabar","Super","ya","ya","net","mnc tv","sctv","trans tv"
"Dennard, Joshua","F","21 - 25 th","Jabar","Mid","ya","ya","rcti","sctv","trans7","trans tv"
"Cordova-Parga, Christopher","M","11 - 15 th","Jatim","Super","ya","tidak","trans7","mnc tv","inews","net"
"Ault Booneel, Jeremiah","M","> 30 th","Kalimantan","Mid","ya","ya","sctv","trans7","trans tv","rcti"
"Busby, Kevin","F","26 - 30 th","Jatim","Super","ya","ya","sctv","net","rcti","trans tv"
"Matin, Jessica","F","11 - 15 th","Jabar","Up2","tidak","tidak","trans7","mnc tv","inews","sctv"
"Crockett, Patrick","M","> 30 th","Jabodetabek","Up1","tidak","ya","rcti","trans7","trans tv","mnc tv"
"Estrada, Eoin","F","21 - 25 th","Jabar","Mid","tidak","ya","trans7","mnc tv","rcti","sctv"
"Lavender, Sequana","M","16 - 20 th","SUM 2","Mid","tidak","ya","net","trans tv","rcti","sctv"
"Lin, Sanjay","M","21 - 25 th","Jabodetabek","Super","ya","tidak","trans7","trans tv","net","sctv"
"Vargo, Elias","M","21 - 25 th","Jabodetabek","Up1","ya","ya","net","sctv","trans tv","rcti"
"Richardson, Randy","M","21 - 25 th","Sulawesi","Mid","ya","ya","trans7","tv one","rcti","sctv"
"Mcclinon, Shernette","F","11 - 15 th","Jabodetabek","Mid","ya","ya","trans7","inews","tv one","mnc tv"
"Isaac, Gabriel","F","16 - 20 th","Jabodetabek","Super","ya","ya","net","tv one","indosiar","inews"
"el-Saab, Sultan","M","> 30 th","Jateng","Up2","ya","tidak","net","rcti","sctv","tv one"
"Prieto, Kevin","M","21 - 25 th","SUM 2","Mid","ya","ya","sctv","net","trans7","mnc tv"
"Christensen, Taylor","M","26 - 30 th","Jatim","Up1","tidak","tidak","trans tv","rcti","tv one","indosiar"
"Ramirez, Javier","F","16 - 20 th","Jabar","Mid","ya","tidak","rcti","net","tv one","trans7"
"Amidon, Josiah","M","21 - 25 th","Jabodetabek","Up2","ya","tidak","trans7","rcti","mnc tv","sctv"
"Butler, Angela","F","11 - 15 th","SUM 2","Mid","tidak","ya","trans7","net","trans tv","sctv"
"Quick, Benjamin","M","16 - 20 th","Jateng","Mid","ya","ya","trans tv","sctv","inews","trans7"
"Vigil, Sierra","F","16 - 20 th","Jabar","Up2","tidak","tidak","trans7","trans tv","inews","tv one"
"Hunt, Cetan","M","21 - 25 th","SUM 1","Mid","ya","ya","indosiar","sctv","trans tv","inews"
"Heer, Lukas","F","11 - 15 th","Jabodetabek","Super","tidak","ya","tv one","rcti","trans7","sctv"
"Robinson, Tosh","M","16 - 20 th","Jabar","Up2","ya","ya","net","inews","trans7","mnc tv"
"Moline, Veronica","M","16 - 20 th","Jatim","Super","ya","tidak","net","trans tv","trans7","sctv"
"Wilson, Cassandra","M","21 - 25 th","SUM 2","Mid","ya","ya","tv one","inews","trans7","net"
"Schwebach, Nicholas","F","11 - 15 th","SUM 2","Up2","ya","tidak","trans7","trans tv","net","inews"
"Dunn, Siraj","M","26 - 30 th","Jateng","Super","ya","ya","net","sctv","trans tv","trans7"
"el-Shah, Qamraaa","F","11 - 15 th","Jabar","Super","ya","ya","rcti","trans tv","trans7","mnc tv"
"al-Iman, Sufyaan","M","21 - 25 th","Jabodetabek","Mid","ya","ya","tv one","net","trans tv","inews"
"el-Safar, Jasoor","M","21 - 25 th","Jateng","Mid","ya","tidak","sctv","net","mnc tv","inews"
"el-Akhtar, Daifallah","M","11 - 15 th","Jabodetabek","Mid","ya","tidak","sctv","indosiar","trans7","tv one"
"Torres, Bradley","M","26 - 30 th","BARA","Mid","ya","ya","net","trans tv","tv one","inews"
"Vance, Trent","F","26 - 30 th","Jabar","Mid","ya","ya","inews","trans tv","mnc tv","trans7"
"al-Azam, Mardiyya","M","> 30 th","SUM 2","Mid","ya","ya","indosiar","rcti","trans tv","trans7"
"Hutton, Amanda","F","21 - 25 th","Kalimantan","Up1","ya","ya","inews","trans tv","net","tv one"
"Johnson-Hodge, De'Naje","M","> 30 th","Sulawesi","Mid","ya","ya","rcti","sctv","inews","trans tv"
"Colunga, Jims Patrick","M","26 - 30 th","SUM 2","Up2","tidak","ya","mnc tv","net","trans tv","inews"
"Luong, Hyungu","M","21 - 25 th","Kalimantan","Mid","ya","ya","trans7","net","mnc tv","trans tv"
"Conover, Antwuan","F","21 - 25 th","Jabar","Up1","ya","ya","rcti","mnc tv","sctv","trans7"
"Haines, Stephanie","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","net","trans7","sctv","rcti"
"Morgan, Taylor","F","26 - 30 th","Sulawesi","Up2","ya","ya","net","trans tv","sctv","mnc tv"
"al-Kaleel, Mushtaaqa","M","> 30 th","Jabodetabek","Mid","ya","ya","tv one","trans tv","net","trans7"
"Gale-Warren, Brooke","M","26 - 30 th","Sulawesi","Super","ya","ya","trans7","mnc tv","net","trans tv"
"Curtice, Teryl","F","26 - 30 th","Kalimantan","Super","ya","tidak","net","rcti","trans tv","inews"
"Truong, Bailey","M","26 - 30 th","Jateng","Mid","ya","ya","trans7","inews","net","trans tv"
"el-Masri, Humaina","M","26 - 30 th","Jabodetabek","Mid","tidak","ya","net","sctv","inews","indosiar"
"Rodriguez-Vega, Brandi","M","26 - 30 th","Jateng","Up2","ya","tidak","indosiar","trans tv","tv one","sctv"
"Sanchez, Gerald","M","11 - 15 th","Jabodetabek","Up2","tidak","ya","mnc tv","inews","trans7","tv one"
"Zhou, Alex","M","26 - 30 th","SUM 2","Super","ya","ya","sctv","net","trans7","mnc tv"
"Andrew, Alexis","M","21 - 25 th","Jabar","Super","ya","tidak","mnc tv","rcti","tv one","indosiar"
"Rodriguez, Maricarmen","M","16 - 20 th","Sulawesi","Super","tidak","tidak","mnc tv","rcti","sctv","net"
"el-Salem, Nadheer","M","26 - 30 th","Jatim","Mid","ya","tidak","net","mnc tv","trans tv","tv one"
"Sharon, Jena","F","16 - 20 th","Jatim","Up2","tidak","ya","sctv","mnc tv","net","tv one"
"Ballard, Cecelia","F","11 - 15 th","BARA","Mid","tidak","ya","inews","tv one","trans7","net"
"Strock, Tanner","F","21 - 25 th","SUM 2","Mid","ya","ya","trans7","trans tv","indosiar","inews"
"Wu, Baosan","F","26 - 30 th","Jatim","Up2","ya","ya","inews","sctv","trans tv","net"
"Medrano, Jesus","M","26 - 30 th","Jabodetabek","Mid","tidak","tidak","net","trans tv","indosiar","trans7"
"Sanchez, Elora","F","11 - 15 th","Jabodetabek","Mid","ya","ya","mnc tv","net","trans tv","trans7"
"Dines, Hung","F","26 - 30 th","Jabodetabek","Up2","tidak","ya","trans7","rcti","net","indosiar"
"Rosales, Adriana","F","21 - 25 th","Jabodetabek","Mid","ya","ya","net","trans tv","trans7","mnc tv"
"Cash, Jake","F","21 - 25 th","BARA","Mid","tidak","ya","inews","sctv","net","mnc tv"
"Hickey, Nicholas","M","> 30 th","Jatim","Mid","ya","ya","inews","tv one","rcti","net"
"Bottorff, Joseph","M","26 - 30 th","SUM 1","Up1","tidak","ya","trans tv","inews","trans7","net"
"Bunting, Carmen","M","21 - 25 th","PUMA","Up1","ya","ya","trans7","trans tv","net","inews"
"Amerson, Rachel","M","21 - 25 th","SUM 2","Super","ya","ya","sctv","inews","mnc tv","trans7"
"Sanchez, Rodolfo Serafin","M","16 - 20 th","Kalimantan","Up1","ya","ya","sctv","indosiar","trans7","net"
